timestamp,Alert_Level,tinggi_letusan_m,kec_angin_km_jam,arah_angin_deg,amplitudo,max_time,jarak_km,luas_km2,sudut_deg,radius_km
2026-03-03 00:00:00 UTC,Yellow,,27.5,270,,,,,,
2026-02-16 00:00:00 UTC,Yellow,,27.5,90,,,,,,
2026-02-01 00:00:00 UTC,Yellow,,27.5,90,,,,,,
2026-01-16 07:59:00 UTC,Yellow,,22.5,90,,,,,,
2026-01-07 03:00:00 UTC,Yellow,,27.5,270,,,,,,
2024-06-11 07:34:00 UTC,Yellow,1000,,270,50,30,,,,
2024-01-24 08:56:00 UTC,Orange,1000,,112.5,51,168,1.8,,,
2024-01-21 07:12:00 UTC,Orange,,,112.5,70,239.64,,,,
2023-12-08 07:46:00 UTC,Orange,,,,75,,,,,
2023-03-15 03:36:00 UTC,Orange,1200,,90,65,133,,,,
2023-03-13 22:50:00 UTC,Orange,1500,,112.5,70,160,,,,
2023-03-12 09:19:00 UTC,Orange,2500,,337.5,70,145,,,,
2023-03-12 00:08:00 UTC,Orange,2000,,337.5,70,169,2,,,
2023-03-11 06:06:00 UTC,Orange,3000,,292.5,70,202,,,,
2023-03-11 05:12:00 UTC,Orange,3000,,292.5,75,,,,,
2022-03-09 17:00:00 UTC,Red,3000,,135,,,,,,
2021-12-01 14:41:00 UTC,Orange,1000,,90,41,,3,,,
2021-08-15 23:09:00 UTC,Orange,600,,270,66,,3.5,,,
2021-08-07 23:45:00 UTC,Orange,1000,,270,20,,,,,
2021-06-29 04:50:00 UTC,Orange,500,,270,60,152,,,,
2021-06-24 22:56:00 UTC,Orange,1000,,135,75,245,,,,
2021-01-09 02:29:00 UTC,Orange,9210,,315,45,120,,,,
2020-06-21 09:16:00 UTC,Yellow,0,,,,,,,,
2020-06-21 02:48:00 UTC,Red,27770,,270,75,,,,,
2020-04-10 02:16:00 UTC,Orange,18170,,315,75,,,,,
2020-04-02 08:21:00 UTC,Orange,18170,,90,78,,,,,
2020-03-28 17:20:00 UTC,Orange,13370,,270,40,,,,,
2020-03-28 12:35:00 UTC,Orange,18170,,,75,,,,,
2020-03-27 22:41:00 UTC,Orange,14970,,,50,,,,,
2020-03-27 14:49:00 UTC,Orange,11770,,270,40,180,,,,
2020-03-27 11:38:00 UTC,Green,0,,,,,,,,
2020-03-27 04:15:00 UTC,Red,24570,,225,75,420,,,,
2020-03-03 10:27:00 UTC,Green,0,,,,,,,,
2020-03-02 22:50:00 UTC,Red,27770,,0,75,450,,,,
2020-02-12 22:43:00 UTC,Orange,14970,,315,75,105,,,,
2019-11-17 03:54:00 UTC,Orange,11770,,270,,155,,,,
2019-11-08 23:43:00 UTC,Orange,13370,,270,,,,,,
2018-05-23 20:16:00 UTC,Red,27770,,270,,,,,,
2018-05-23 08:32:00 UTC,Orange,0,,225,,,,,,
2018-05-22 21:28:00 UTC,Orange,14970,,225,,,,,,
2018-05-22 10:22:00 UTC,Green,8650,,,,,,,,
2018-05-21 03:17:00 UTC,Yellow,12410,,270,,,,,,
2018-05-11 08:01:00 UTC,Yellow,0,,,,,,,,
2018-05-11 01:40:00 UTC,Red,16672,,135,,,,,,
2016-02-17 03:00:00 UTC,Yellow,0,,,,,,,,
2016-02-16 23:45:00 UTC,Red,23712,,45,,,,,,
2019-10-14 09:44:00 UTC,Orange,18170,,,,,,,,
2019-09-22 05:08:00 UTC,Orange,11130,,,,,,,,
2018-06-03 13:39:00 UTC,Green,11130,,,,,,,,
2018-06-01 14:07:00 UTC,Orange,11770,,315,,,,,,
2018-06-01 13:32:00 UTC,Orange,16570,,270,,,,,,
2018-06-01 01:31:00 UTC,Red,27770,,315,,,,,,
2018-05-25 21:34:00 UTC,Green,8650,,,,,,,,
2018-05-24 03:57:00 UTC,Orange,13370,,,,,,,,
2021-01-07 02:57:00 UTC,Orange,9210,,225,28,154,,,,
