model,fold,cv_r2,cv_mae,cv_rmse,elapsed_seconds
xgboost,1,0.7198434472084045,32.935707092285156,154.17035398180482,1.5354843139648438
xgboost,2,0.8808934092521667,24.274633407592773,63.84468879326905,1.637627363204956
xgboost,3,0.6804375648498535,54.71156311035156,331.4943320593883,1.6167316436767578
xgboost,4,0.8258351683616638,32.725486755371094,131.78574438031984,1.489856243133545
xgboost,5,0.8724891543388367,25.235139846801758,117.64809068653643,1.609032154083252
xgboost,6,0.7265248894691467,28.613662719726562,88.87776619728216,1.5992062091827393
xgboost,7,0.6718786954879761,44.476898193359375,173.05250061397552,1.385969877243042
xgboost,8,0.8099194765090942,26.51456069946289,88.88000216672056,1.5030837059020996
xgboost,9,0.680700957775116,30.57074546813965,123.09887492504755,1.5147294998168945
xgboost,10,0.23310327529907227,36.662654876708984,201.40754702840707,1.4054279327392578
