feature,mi_score
eruption_energy_proxy,0.38436206542033363
tinggi_letusan_m,0.2736438152472106
plume_to_elevation_ratio,0.26727476762816293
amplitudo,0.17205064424141664
wind_plume_interaction,0.1380954535081434
month_cos,0.10755833198710751
wind_v,0.09592596247958673
month,0.0936043632262501
month_sin,0.092826752936643
arah_angin_deg,0.05208769503891664
duration_amplitude_interaction,0.03341091890154679
hour_sin,0.029416649151539076
wind_u,0.02793857382129661
kec_angin_km_jam,0.018883200674827738
hour_utc,0.015230489911368994
duration,0.008903542220257021
hour_cos,0.008031320099263106
longitude,0.0
latitude,0.0
alert_level_num,0.0
elevation,0.0
alert_level,0.0
